timestamp_ms,session_id,type,state,address
1747216811071,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216811071,data-pending:false,,,
1747216812247,session-type:IPv4,,,
1747216812247,apn:internet,,,
1747216812247,s-nssai:,,,
1747216812247,sst:0x01,,,
1747216812247,sd:null,,,
1747216812247,emergency:false,,,
1747216812247,address:10.45.0.10,,,
1747216812247,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216812247,data-pending:false,,,
1747216813414,session-type:IPv4,,,
1747216813414,apn:internet,,,
1747216813414,s-nssai:,,,
1747216813414,sst:0x01,,,
1747216813414,sd:null,,,
1747216813414,emergency:false,,,
1747216813414,address:10.45.0.10,,,
1747216813414,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216813414,data-pending:false,,,
1747216814574,session-type:IPv4,,,
1747216814574,apn:internet,,,
1747216814574,s-nssai:,,,
1747216814574,sst:0x01,,,
1747216814574,sd:null,,,
1747216814574,emergency:false,,,
1747216814574,address:10.45.0.10,,,
1747216814574,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216814574,data-pending:false,,,
1747216815716,session-type:IPv4,,,
1747216815716,apn:internet,,,
1747216815716,s-nssai:,,,
1747216815716,sst:0x01,,,
1747216815716,sd:null,,,
1747216815716,emergency:false,,,
1747216815716,address:10.45.0.10,,,
1747216815716,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216815716,data-pending:false,,,
1747216816895,session-type:IPv4,,,
1747216816895,apn:internet,,,
1747216816895,s-nssai:,,,
1747216816895,sst:0x01,,,
1747216816895,sd:null,,,
1747216816895,emergency:false,,,
1747216816895,address:10.45.0.10,,,
1747216816895,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216816895,data-pending:false,,,
1747216818035,session-type:IPv4,,,
1747216818035,apn:internet,,,
1747216818035,s-nssai:,,,
1747216818035,sst:0x01,,,
1747216818035,sd:null,,,
1747216818035,emergency:false,,,
1747216818035,address:10.45.0.10,,,
1747216818035,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216818035,data-pending:false,,,
1747216819185,session-type:IPv4,,,
1747216819185,apn:internet,,,
1747216819185,s-nssai:,,,
1747216819185,sst:0x01,,,
1747216819185,sd:null,,,
1747216819185,emergency:false,,,
1747216819185,address:10.45.0.10,,,
1747216819185,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216819185,data-pending:false,,,
1747216820374,session-type:IPv4,,,
1747216820374,apn:internet,,,
1747216820374,s-nssai:,,,
1747216820374,sst:0x01,,,
1747216820374,sd:null,,,
1747216820374,emergency:false,,,
1747216820374,address:10.45.0.10,,,
1747216820374,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216820374,data-pending:false,,,
1747216821566,session-type:IPv4,,,
1747216821566,apn:internet,,,
1747216821566,s-nssai:,,,
1747216821566,sst:0x01,,,
1747216821566,sd:null,,,
1747216821566,emergency:false,,,
1747216821566,address:10.45.0.10,,,
1747216821566,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216821566,data-pending:false,,,
1747216822768,session-type:IPv4,,,
1747216822768,apn:internet,,,
1747216822768,s-nssai:,,,
1747216822768,sst:0x01,,,
1747216822768,sd:null,,,
1747216822768,emergency:false,,,
1747216822768,address:10.45.0.10,,,
1747216822768,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216822768,data-pending:false,,,
1747216823967,session-type:IPv4,,,
1747216823967,apn:internet,,,
1747216823967,s-nssai:,,,
1747216823967,sst:0x01,,,
1747216823967,sd:null,,,
1747216823967,emergency:false,,,
1747216823967,address:10.45.0.10,,,
1747216823967,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216823967,data-pending:false,,,
1747216825215,session-type:IPv4,,,
1747216825215,apn:internet,,,
1747216825215,s-nssai:,,,
1747216825215,sst:0x01,,,
1747216825215,sd:null,,,
1747216825215,emergency:false,,,
1747216825215,address:10.45.0.10,,,
1747216825215,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216825215,data-pending:false,,,
1747216826497,session-type:IPv4,,,
1747216826497,apn:internet,,,
1747216826497,s-nssai:,,,
1747216826497,sst:0x01,,,
1747216826497,sd:null,,,
1747216826497,emergency:false,,,
1747216826497,address:10.45.0.10,,,
1747216826497,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216826497,data-pending:false,,,
1747216827774,session-type:IPv4,,,
1747216827774,apn:internet,,,
1747216827774,s-nssai:,,,
1747216827774,sst:0x01,,,
1747216827774,sd:null,,,
1747216827774,emergency:false,,,
1747216827774,address:10.45.0.10,,,
1747216827774,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216827774,data-pending:false,,,
1747216828994,session-type:IPv4,,,
1747216828994,apn:internet,,,
1747216828994,s-nssai:,,,
1747216828994,sst:0x01,,,
1747216828994,sd:null,,,
1747216828994,emergency:false,,,
1747216828994,address:10.45.0.10,,,
1747216828994,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216828994,data-pending:false,,,
1747216830201,session-type:IPv4,,,
1747216830201,apn:internet,,,
1747216830201,s-nssai:,,,
1747216830201,sst:0x01,,,
1747216830201,sd:null,,,
1747216830201,emergency:false,,,
1747216830201,address:10.45.0.10,,,
1747216830201,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
1747216830201,data-pending:false,,,
1747216831438,session-type:IPv4,,,
1747216831438,apn:internet,,,
1747216831438,s-nssai:,,,
1747216831438,sst:0x01,,,
1747216831438,sd:null,,,
1747216831438,emergency:false,,,
1747216831438,address:10.45.0.10,,,
1747216831438,ambr:up[1000000Kb/s]down[1000000Kb/s],,,
